Date,Open,High,Low,Close,Volume,Adj Close
2008-03-31,1315.92,1328.52,1312.81,1322.7,4188990000,1322.7
2008-04-01,1326.41,1370.18,1326.41,1370.18,4745120000,1370.18
2008-04-02,1369.96,1377.95,1361.55,1367.53,4320440000,1367.53
2008-04-03,1365.69,1375.66,1358.68,1369.31,3920100000,1369.31
2008-04-04,1369.85,1380.91,1362.83,1370.4,3703100000,1370.4
2008-04-07,1373.69,1386.74,1369.02,1372.54,3747780000,1372.54
2008-04-08,1370.16,1370.16,1360.62,1365.54,3602500000,1365.54
2008-04-09,1365.5,1368.39,1349.97,1354.49,3556670000,1354.49
2008-04-10,1355.37,1367.24,1350.11,1360.55,3686150000,1360.55
2008-04-11,1357.98,1357.98,1331.21,1332.83,3723790000,1332.83
2008-04-14,1332.2,1335.64,1326.16,1328.32,3565020000,1328.32
2008-04-15,1331.72,1337.72,1324.35,1334.43,3581230000,1334.43
2008-04-16,1337.02,1365.49,1337.02,1364.71,4260370000,1364.71
2008-04-17,1363.37,1368.6,1357.25,1365.56,3713880000,1365.56
2008-04-18,1369.0,1395.9,1369.0,1390.33,4222380000,1390.33
2008-04-21,1387.72,1390.23,1379.25,1388.17,3420570000,1388.17
2008-04-22,1386.43,1386.43,1369.84,1375.94,3821900000,1375.94
2008-04-23,1378.4,1387.87,1372.24,1379.93,4103610000,1379.93
2008-04-24,1380.52,1397.72,1371.09,1388.82,4461660000,1388.82
2008-04-25,1387.88,1399.11,1379.98,1397.84,3891150000,1397.84
2008-04-28,1397.96,1402.9,1394.4,1396.37,3607000000,1396.37
2008-04-29,1395.61,1397.0,1386.7,1390.94,3815320000,1390.94
2008-04-30,1391.22,1404.57,1384.25,1385.59,4508890000,1385.59
2008-05-01,1385.97,1410.07,1383.07,1409.34,4448780000,1409.34
2008-05-02,1409.16,1422.72,1406.25,1413.9,3953030000,1413.9
2008-05-05,1415.34,1415.34,1404.37,1407.49,3410090000,1407.49
2008-05-06,1405.6,1421.57,1397.1,1418.26,3924100000,1418.26
2008-05-07,1417.49,1419.54,1391.16,1392.57,4075860000,1392.57
2008-05-08,1394.29,1402.35,1389.39,1397.68,3827550000,1397.68
2008-05-09,1394.9,1394.9,1384.11,1388.28,3518620000,1388.28
2008-05-12,1389.4,1404.06,1386.2,1403.58,3370630000,1403.58
2008-05-13,1404.4,1406.3,1396.26,1403.04,4018590000,1403.04
2008-05-14,1405.65,1420.19,1405.65,1408.66,3979370000,1408.66
2008-05-15,1408.36,1424.4,1406.87,1423.57,3836480000,1423.57
2008-05-16,1423.89,1425.82,1414.35,1425.35,3842590000,1425.35
2008-05-19,1425.28,1440.24,1421.63,1426.63,3683970000,1426.63
2008-05-20,1424.49,1424.49,1409.09,1413.4,3854320000,1413.4
2008-05-21,1414.06,1419.12,1388.81,1390.71,4517990000,1390.71
2008-05-22,1390.83,1399.07,1390.23,1394.35,3955960000,1394.35
2008-05-23,1392.2,1392.2,1373.72,1375.93,3516380000,1375.93
2008-05-27,1375.97,1387.4,1373.07,1385.35,3588860000,1385.35
2008-05-28,1386.54,1391.25,1378.16,1390.84,3927240000,1390.84
2008-05-29,1390.5,1406.32,1388.59,1398.26,3894440000,1398.26
2008-05-30,1398.36,1404.46,1398.08,1400.38,3845630000,1400.38
2008-06-02,1399.62,1399.62,1377.79,1385.67,3714320000,1385.67
2008-06-03,1386.42,1393.12,1370.12,1377.65,4396380000,1377.65
2008-06-04,1376.26,1388.18,1371.74,1377.2,4338640000,1377.2
2008-06-05,1377.48,1404.05,1377.48,1404.05,4350790000,1404.05
2008-06-06,1400.06,1400.06,1359.9,1360.68,4771660000,1360.68
2008-06-09,1360.83,1370.63,1350.62,1361.76,4404570000,1361.76
2008-06-10,1358.98,1366.84,1351.56,1358.44,4635070000,1358.44
2008-06-11,1357.09,1357.09,1335.47,1335.49,4779980000,1335.49
2008-06-12,1335.78,1353.03,1331.29,1339.87,4734240000,1339.87
2008-06-13,1341.81,1360.03,1341.71,1360.03,4080420000,1360.03
2008-06-16,1358.85,1364.7,1352.07,1360.14,3706940000,1360.14
2008-06-17,1360.71,1366.59,1350.54,1350.93,3801960000,1350.93
2008-06-18,1349.59,1349.59,1333.4,1337.81,4573570000,1337.81
